"predictors","predictor_count","cv_rmse","cv_rsquared","cv_mae"
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared",11,0.183972909697067,0.923330042632084,0.135755988264565
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared",11,0.186484299193285,0.921264347560433,0.137367460211571
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Luxury",11,0.184414058747214,0.922804974162587,0.13626017387503
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Diesel",11,0.186640127812113,0.9210703631264,0.137508806435913
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Exotic",11,0.183678821930476,0.923588401682737,0.136231078220468
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  city_mpg+city_mpg_squared",11,0.18470187405239,0.922671259437349,0.136467011066816
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared",12,0.183789537170272,0.923473016922842,0.135444039424461
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Luxury",12,0.181437139163364,0.925269253150025,0.134114833162664
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Diesel",12,0.183957367812068,0.923245934582888,0.135707527413507
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Exotic",12,0.180864946040576,0.925908267195275,0.134443700598396
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  city_mpg+city_mpg_squared",12,0.182905627105848,0.924187310467211,0.135265224396106
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Luxury",12,0.184359412713064,0.922902385814168,0.136183063442764
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Diesel",12,0.186562961409407,0.921189875614133,0.137350525586298
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Exotic",12,0.183619321917432,0.923624814611687,0.13612584629853
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  city_mpg+city_mpg_squared",12,0.184400370820239,0.92288810951142,0.136019204589341
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel",12,0.184439151547591,0.922877491894306,0.136235587199539
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Luxury  Engine_Cylinders:Exotic",12,0.181784572642461,0.925012780011713,0.134953051451347
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Luxury  city_mpg+city_mpg_squared",12,0.182855309844654,0.924269130321732,0.135355747874501
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic",12,0.183647850407851,0.923483459598835,0.136186684285572
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Diesel  city_mpg+city_mpg_squared",12,0.184733105731613,0.92259352679267,0.136461509824549
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",12,0.182057358125141,0.9248995821075,0.13509439699609
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Luxury",13,0.181327640461592,0.925478157138178,0.133962941318948
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Diesel",13,0.183812023290208,0.923340568602056,0.135381519882814
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Exotic",13,0.180642800270504,0.925943344324986,0.134139763397418
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  city_mpg+city_mpg_squared",13,0.182542437275258,0.924527887607758,0.134730396769456
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel",13,0.181483719037201,0.925228019711288,0.134092194868128
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Exotic",13,0.178576359813348,0.927756947234682,0.132713220705327
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Luxury  city_mpg+city_mpg_squared",13,0.180667184550492,0.925940991640093,0.133755511987992
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic",13,0.18084490714295,0.925841571935209,0.134385345856999
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Diesel  city_mpg+city_mpg_squared",13,0.18289920383537,0.924173862713931,0.135251634091148
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",13,0.180164776412759,0.926358297727627,0.133928460029473
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel",13,0.184441137975579,0.922994366263365,0.136145788853372
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Exotic",13,0.181769416574385,0.924961665976645,0.134961074326681
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Luxury  city_mpg+city_mpg_squared",13,0.182664721533323,0.924295784900195,0.135021739419268
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic",13,0.183523713058919,0.923615592164316,0.136090207556141
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Diesel  city_mpg+city_mpg_squared",13,0.184448335922513,0.922711890783498,0.136002645734987
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",13,0.181771759738558,0.92512230731349,0.134725280916102
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic",13,0.181893401022239,0.924953527370378,0.134956166113564
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  city_mpg+city_mpg_squared",13,0.182923188433119,0.924041219961296,0.135324902300542
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Luxury  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",13,0.180477508055964,0.926034188270538,0.134119321170286
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",13,0.182081618917698,0.924917133233584,0.135120531561169
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel",14,0.181379742836394,0.925479463994024,0.133888381631014
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Exotic",14,0.178449755614058,0.927812671540728,0.132541217282224
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Luxury  city_mpg+city_mpg_squared",14,0.180459711807261,0.926087842568025,0.133320125413117
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic",14,0.180691329571278,0.925800869823971,0.134118834101182
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Diesel  city_mpg+city_mpg_squared",14,0.182543547480844,0.924428061992408,0.134664456962459
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",14,0.179802417441784,0.926640952831595,0.133415087735929
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic",14,0.178603369373923,0.927554316835733,0.132601556856315
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  city_mpg+city_mpg_squared",14,0.180707939121104,0.92589504353545,0.133706666603425
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",14,0.178077757773261,0.928145491089123,0.132350616475452
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",14,0.180157959295436,0.926323522610257,0.133845567049661
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic",14,0.181824070511587,0.925036238086659,0.134938154688478
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  city_mpg+city_mpg_squared",14,0.182788975068137,0.924201970078883,0.135027657699771
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",14,0.180256933858122,0.926241939367714,0.133844890759931
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",14,0.181818178705697,0.925093099670447,0.134722487300417
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",14,0.180497756332608,0.926056563951352,0.134035959978374
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic",15,0.178593595600894,0.927588379142198,0.132538877308225
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  city_mpg+city_mpg_squared",15,0.180427355790355,0.926103199675966,0.133265818564753
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",15,0.177764955511326,0.928307945951843,0.131958123378947
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",15,0.179780738609492,0.926724621562388,0.133381453406299
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",15,0.178056614143953,0.927960686486461,0.132295792208252
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",15,0.180284301706346,0.926327199540458,0.133772557349745
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic  Engine_HP_Squared  Age_Squared  Engine_Cylinders:Luxury  Engine_Cylinders:Diesel  Engine_Cylinders:Exotic  city_mpg+city_mpg_squared",16,0.177814189832504,0.928319066647405,0.131922733706338
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic",10,0.186683524355674,0.921028471514701,0.137544503084246
